"BushJob1.htm | Question 0"
"ABC News/Washington Post Poll. April 17-21, 2013. N=1,000 adults nationwide. Margin of error ± 3.5.        "
"Thinking back to when George W. Bush was in office, would you say you approve or disapprove of the way Bush handled his job as president?"
manually enter poll

highest lowest approval rows
['', 'Highest approval:']
['', '10/8-9/01', '92', '6', '1', '', '']
['.']
['', 'Lowest approval:']
['', '10/8-11/08', '23', '73', '4', '', '']





"BushJob1.htm | Question 1"
"CNN/Opinion Research Corporation Poll . Jan. 12-15, 2009. N=1,245 adults nationwide. MoE ± 3."
"Do you approve or disapprove of the way George W. Bush is handling his job as president?"
date,approve,disapprove,unsure,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""1/30-31/08""",33,60,7,,,,approval,http://www.pollingreport.com/BushJob1.htm,"FOX News/Opinion Dynamics Poll. Jan. 13-14, 2009. N=900 registered voters nationwide. MoE ± 3.    ","""Do you approve or disapprove of the job George W. Bush is doing as president?""",FOX News/Opinion Dynamics Poll
"=""12/18-19/07""",36,57,6,,,,approval,http://www.pollingreport.com/BushJob1.htm,"FOX News/Opinion Dynamics Poll. Jan. 13-14, 2009. N=900 registered voters nationwide. MoE ± 3.    ","""Do you approve or disapprove of the job George W. Bush is doing as president?""",FOX News/Opinion Dynamics Poll
"=""11/13-14/07""",36,56,8,,,,approval,http://www.pollingreport.com/BushJob1.htm,"FOX News/Opinion Dynamics Poll. Jan. 13-14, 2009. N=900 registered voters nationwide. MoE ± 3.    ","""Do you approve or disapprove of the job George W. Bush is doing as president?""",FOX News/Opinion Dynamics Poll
"=""10/23-24/07""",35,55,9,,,,approval,http://www.pollingreport.com/BushJob1.htm,"FOX News/Opinion Dynamics Poll. Jan. 13-14, 2009. N=900 registered voters nationwide. MoE ± 3.    ","""Do you approve or disapprove of the job George W. Bush is doing as president?""",FOX News/Opinion Dynamics Poll
"=""10/9-10/07""",35,56,9,,,,approval,http://www.pollingreport.com/BushJob1.htm,"FOX News/Opinion Dynamics Poll. Jan. 13-14, 2009. N=900 registered voters nationwide. MoE ± 3.    ","""Do you approve or disapprove of the job George W. Bush is doing as president?""",FOX News/Opinion Dynamics Poll
"=""9/25-26/07""",34,58,8,,,,approval,http://www.pollingreport.com/BushJob1.htm,"FOX News/Opinion Dynamics Poll. Jan. 13-14, 2009. N=900 registered voters nationwide. MoE ± 3.    ","""Do you approve or disapprove of the job George W. Bush is doing as president?""",FOX News/Opinion Dynamics Poll
"=""9/11-12/07""",37,58,6,,,,approval,http://www.pollingreport.com/BushJob1.htm,"FOX News/Opinion Dynamics Poll. Jan. 13-14, 2009. N=900 registered voters nationwide. MoE ± 3.    ","""Do you approve or disapprove of the job George W. Bush is doing as president?""",FOX News/Opinion Dynamics Poll
"=""8/21-22/07""",33,56,11,,,,approval,http://www.pollingreport.com/BushJob1.htm,"FOX News/Opinion Dynamics Poll. Jan. 13-14, 2009. N=900 registered voters nationwide. MoE ± 3.    ","""Do you approve or disapprove of the job George W. Bush is doing as president?""",FOX News/Opinion Dynamics Poll
"=""7/17-18/07""",32,61,7,,,,approval,http://www.pollingreport.com/BushJob1.htm,"FOX News/Opinion Dynamics Poll. Jan. 13-14, 2009. N=900 registered voters nationwide. MoE ± 3.    ","""Do you approve or disapprove of the job George W. Bush is doing as president?""",FOX News/Opinion Dynamics Poll
"=""6/26-27/07""",31,60,9,,,,approval,http://www.pollingreport.com/BushJob1.htm,"FOX News/Opinion Dynamics Poll. Jan. 13-14, 2009. N=900 registered voters nationwide. MoE ± 3.    ","""Do you approve or disapprove of the job George W. Bush is doing as president?""",FOX News/Opinion Dynamics Poll
